bucket,keyword,vol,kd,cpc
SERVICE,ai seo singapore,140,2,9.84000015258789
SERVICE,seo for companies,880,40,17.579999923706055
SERVICE,career conversion programme singapore,170,4,2.1500000953674316
SERVICE,e commerce website design singapore,260,9,0
SERVICE,ecommerce website design singapore,260,9,0
SERVICE,best seo agency,480,21,17.239999771118164
SERVICE,b2b singapore,110,1,9.760000228881836
SERVICE,local seo services,90,0,0
SERVICE,lead com sg,90,0,0
SERVICE,marketing agency in singapore,880,44,30.459999084472656
SERVICE,company web design,480,22,20.65999984741211
SERVICE,web design companies websites,480,22,20.65999984741211
SERVICE,seo packages in singapore,320,13,0
SERVICE,online sales singapore,1600,86,2.91
SERVICE,e-commerce website design singapore,260,10,0
SERVICE,cheapest website design singapore,170,5,13.600000381469727
SERVICE,seo of company,880,48,17.579999923706055
SERVICE,best seo agency in singapore,590,31,41.83000183105469
SERVICE,seo services for small businesses,260,11,0
SERVICE,web design company,480,25,20.65999984741211
SERVICE,web design agency in singapore,590,32,17.15999984741211
SERVICE,web design agency,390,21,8.399999618530273
SERVICE,best digital marketing agencies,210,9,0
SERVICE,seo for company,880,55,17.579999923706055
SERVICE,seo experts singapore,260,13,0
SERVICE,b2b marketing firm,70,0,23.66
SERVICE,b2b marketing company,70,0,23.66
SERVICE,marketing agency for b2b,70,0,23.66
SERVICE,website design seo services,70,0,0
SERVICE,web design and seo services,70,0,0
SERVICE,singapore airlines chatbot,70,0,0
SERVICE,singapore airline chatbot,70,0,0
SERVICE,singapore automation company,140,5,5.300000190734863
SERVICE,whatsapp business api pricing,110,3,0
SERVICE,best web design company in singapore,260,14,16.540000915527344
SERVICE,singapore web design company,320,19,4.650000095367432
SERVICE,best web design company singapore,260,15,16.540000915527344
SERVICE,top web design companies in singapore,260,15,16.540000915527344
SERVICE,top web design company in singapore,260,15,16.540000915527344
SERVICE,website design company website,480,32,20.65999984741211
SERVICE,geo agency singapore,90,2,54.08000183105469
SERVICE,singapore ai companies,90,2,4.119999885559082
SERVICE,digital marketing agency best,210,12,0
SERVICE,technical seo audit services,170,9,0
SERVICE,technical seo services,170,9,0
SERVICE,digital marketing services singapore,260,17,14.87
SERVICE,ai seo agency,140,7,0
SERVICE,top digital marketing agency singapore,210,13,13.079999923706055
SERVICE,digital marketing services,260,18,28.88
SERVICE,best website design company in singapore,260,18,16.540000915527344
SERVICE,ecommerce website design in singapore,260,18,0
SERVICE,singapore best web design company,260,18,16.540000915527344
SERVICE,best ai chatbot,320,25,6
SERVICE,budget web design singapore,170,11,13.600000381469727
SERVICE,budget website design singapore,170,11,13.600000381469727
SERVICE,best web design singapore,260,20,16.540000915527344
SERVICE,best website design company singapore,260,20,16.540000915527344
SERVICE,b2b marketing agency,70,2,23.66
SERVICE,seo and web design services,70,2,0
SERVICE,web development agency in singapore,320,27,4.650000095367432
SERVICE,web agency singapore,210,16,12.989999771118164
SERVICE,content marketing singapore,110,6,118.7699966430664
SERVICE,ai chatbot best,320,30,6
SERVICE,lead generation agencies,90,5,45.15
SERVICE,lead generation agency,90,5,45.15
SERVICE,agency lead generation,90,5,45.15
SERVICE,best website design singapore,260,24,16.540000915527344
SERVICE,best digital marketing firms,210,19,0
SERVICE,website design companies singapore,320,32,4.650000095367432
SERVICE,website agency singapore,210,20,12.989999771118164
SERVICE,search engine optimization seo services,140,12,0
SERVICE,services for web design,210,21,17.549999237060547
SERVICE,seo services pricing singapore,40,0,0
SERVICE,ecommerce web design singapore,260,28,0
SERVICE,web design seo services,70,4,0
SERVICE,singapore web agency,210,22,12.989999771118164
SERVICE,production design agency,170,17,2.680000066757202
SERVICE,web design and services,210,23,17.549999237060547
SERVICE,top digital marketing agencies in singapore,210,23,13.079999923706055
SERVICE,ecommerce website design company singapore,260,32,0
SERVICE,agency for b2b marketing,70,5,23.66
SERVICE,marketing agency b2b,70,5,23.66
SERVICE,seo optimisation services,140,15,0
SERVICE,website design and seo services,70,5,0
SERVICE,marketing company in singapore,210,25,64.19000244140625
SERVICE,marketing firm singapore,210,27,64.19000244140625
SERVICE,design agency,110,12,4.909999847412109
SERVICE,design agencies,110,12,4.909999847412109
SERVICE,marketing companies singapore,210,28,64.19000244140625
SERVICE,ai seo agency singapore,90,10,8.710000038146973
SERVICE,lead gen agency,90,10,45.150001525878906
SERVICE,singapore seo agency,210,31,27.920000076293945
SERVICE,marketing agency near me,110,14,2.2899999618530273
SERVICE,whatsapp business pricing,90,11,0
SERVICE,seo services in singapore,140,20,0
SERVICE,singapore seo service,140,20,0
SERVICE,web design services,210,33,17.549999237060547
SERVICE,b2b marketing agency singapore,70,8,50.3
SERVICE,top rated website design,210,34,4.190000057220459
SERVICE,event marketing singapore,70,8,4
SERVICE,best digital marketing company,210,35,0
SERVICE,singapore seo services,140,23,0
SERVICE,network marketing companies in singapore,70,9,2.7100000381469727
SERVICE,network marketing companies singapore,70,9,2.7100000381469727
SERVICE,seo marketing agencies,140,24,0
SERVICE,near me marketing agency,110,19,2.2899999618530273
SERVICE,whatsapp pricing,50,6,0
SERVICE,crm in singapore,90,15,15.020000457763672
SERVICE,best website design website,210,42,4.190000057220459
SERVICE,whatsapp business account price,70,11,0
SERVICE,whatsapp business price,90,16,0
SERVICE,digital marketing service,260,56,28.88
SERVICE,digital marketing services services,260,56,28.88
SERVICE,best website design,210,48,4.190000057220459
SERVICE,seo services sg,140,31,0
SERVICE,web design and development agencies,70,13,0
SERVICE,top digital marketing agency,210,49,0
SERVICE,whatsapp cost,50,8,0
SERVICE,whatsapp business api price,110,26,0
SERVICE,seo services near me,70,15,0
SERVICE,top digital marketing agencies singapore,210,56,13.079999923706055
SERVICE,marketing company singapore,210,57,64.19000244140625
SERVICE,whatsapp price,50,10,0
SERVICE,whatsapp api price,110,31,0
SERVICE,whatsapp api pricing,110,31,0
SERVICE,sg top google seo agency,70,20,0
SERVICE,seo singapore services,50,13,0
SERVICE,search engine optimization services seo,140,49,0
SERVICE,brand and marketing agency,40,12,49.650001525878906
SERVICE,top seo agency singapore,70,25,0
SERVICE,marketing company,140,56,30.389999389648438
SERVICE,whatsapp for business pricing,30,11,0
SERVICE,seo web design services,70,34,0
SERVICE,marketing agencies near me,110,59,2.2899999618530273
SERVICE,digital marketing agency near me,90,56,5.150000095367432
SERVICE,digital marketing agencies near me,90,57,5.150000095367432
SERVICE,top landing page,50,41,2.72
SERVICE,brand marketing agency,40,39,49.650001525878906
SERVICE,lead generation service,40,41,0
SERVICE,lead generation services,40,41,0
SERVICE,on page seo services,40,41,0
SERVICE,best landing page,50,54,2.72
SERVICE,seo services company in singapore,30,31,0
SERVICE,lead generation companies,40,44,18
SERVICE,lead generation company,40,44,18
SERVICE,whatsapp business api singapore,40,47,0
SERVICE,global seo services,30,34,0
SERVICE,enterprise seo services,30,38,0
SERVICE,b2b marketing companies,70,,23.66
SERVICE,ai automation agencies,70,,8.96
SERVICE,ai automation agency,70,,8.96
SERVICE,seo company services,40,57,0
SERVICE,seo services company,40,57,0
SERVICE,seo services companies,40,57,0
SERVICE,lead generation agency singapore,30,43,12.38
SERVICE,whatsapp business cost,30,43,0
SERVICE,seo consultant services,40,61,0
SERVICE,seo consulting services,40,61,0
SERVICE,seo consultancy services,40,61,0
SERVICE,seo services consultants,40,61,0
SERVICE,seo marketing services,40,62,0
SERVICE,best seo services singapore,40,63,0
SERVICE,ai seo services,50,,12.91
SERVICE,on-page seo services,50,,0
SERVICE,landing page top,50,,2.72
SERVICE,seo services for business,30,59,0
SERVICE,lead generation companies in singapore,20,43,0
SERVICE,lead generation companies singapore,20,43,5.2
SERVICE,lead generation company singapore,20,43,5.2
SERVICE,lead generation for companies,40,,18
SERVICE,lead generation it services,40,,0
SERVICE,it lead generation services,40,,0
SERVICE,lead generation as a service,40,,0
SERVICE,business lead generation companies,40,,18
SERVICE,lead generation for it services,40,,0
SERVICE,b2b marketing leaders forum singapore,40,,0
SERVICE,top ai chatbot,40,,2.55
SERVICE,best ai chatbot for roleplay,40,,1.07
SERVICE,best free ai chatbot,40,,0.81
SERVICE,ai chatbot services,40,,0
SERVICE,ai chatbot service,40,,0
SERVICE,seo consultants services,40,,0
SERVICE,shopify seo services,40,,0
SERVICE,seo services for shopify,40,,0
SERVICE,professional seo services,20,54,0
SERVICE,seo services agency,20,62,0
SERVICE,b2b digital marketing agencies,30,,0
SERVICE,digital marketing agency for b2b,30,,0
SERVICE,b2b digital marketing agency,30,,0
SERVICE,ai chatbot for customer service,30,,34.42
SERVICE,ai chatbot customer service,30,,34.42
SERVICE,chatbot ai customer service,30,,34.42
SERVICE,ai chatbot agency,30,,15.79
SERVICE,seo services for ecommerce,30,,28.3
SERVICE,ecommerce seo services,30,,28.3
SERVICE,seo services ecommerce,30,,28.3
SERVICE,seo ecommerce services,30,,28.3
SERVICE,e-commerce seo services,30,,28.3
SERVICE,worldwide seo services,30,,0
SERVICE,enterprise seo optimization services,30,,0
SERVICE,worldwide-seo-services,30,,0
SERVICE,e commerce seo services,30,,28.3
SERVICE,ai automation agency singapore,30,,22.63
SERVICE,lead generation services australia,20,,0
SERVICE,b2b lead generation singapore,20,,26.24
SERVICE,lead generation firm,20,,0
SERVICE,lead generation consulting services,20,,0
SERVICE,best ai chatbot app,20,,1.58
SERVICE,seo audit services,20,,0
SERVICE,seo services link building,20,,0
SERVICE,seo for healthcare services,20,,0
SERVICE,link building seo services,20,,0
SERVICE,seo india services,20,,29.17
SERVICE,corporate seo services,20,,0
SERVICE,do seo services work,20,,0
SERVICE,mobile seo services,20,,0
SERVICE,healthcare seo services,20,,0
SERVICE,seo services united states,20,,0
SERVICE,seo services company singapore,20,,0
SERVICE,medical seo services,20,,0
SERVICE,seo agency services,20,,0
SERVICE,seo link building services,20,,0
SERVICE,landing page design company,20,,0
SERVICE,landing page design companies,20,,0
SERVICE,ai automation singapore,20,,3.72
OUTCOME,how to get whatsapp business account,30,46,0
OUTCOME,build landing page,50,90,17.44
OUTCOME,how to convert whatsapp to business,30,,0
OUTCOME,how to build landing page,20,,15.37
TECH,ai chatbot,12100,46,1.43
TECH,a i chatbot,12100,67,1.43
TECH,chatbot ai,2900,58,1.08
TECH,chatbot,2900,63,1.66
TECH,ai chatbot online,2900,74,1.08
TECH,conversational ai chatbot,1600,50,0
TECH,ai in automation,390,12,10.2
TECH,ai and chatbot,720,30,4.92
TECH,china ai chatbot,90,0,1.65
TECH,ai automation,390,17,10.2
TECH,ai and automation,390,17,10.2
TECH,automation and ai,390,17,10.2
TECH,chinese ai chatbot,90,1,1.65
TECH,kris chatbot,70,0,0
TECH,studio ai,720,49,0.46000000834465027
TECH,ai chatbot chinese,90,3,1.65
TECH,chatbot app,390,30,1.52
TECH,ai for automation,390,32,10.2
TECH,artificial intelligence chatbot,720,64,4.92
TECH,generative ai chatbot,590,62,3.62
TECH,ai chatbot free,480,51,0.73
TECH,chatbot for whatsapp,170,15,0
TECH,ui for chatbot,110,8,2.17
TECH,chatbot in whatsapp,170,16,0
TECH,scoot chatbot,70,4,0
TECH,free ai chatbot,390,48,1.69
TECH,chatbot apps,390,49,1.52
TECH,chatbot on whatsapp,170,20,0
TECH,ai consulting,140,17,6.409999847412109
TECH,whatsapp chatbot,170,23,0
TECH,ai business process automation,30,0,0
TECH,citibank chatbot,70,7,2.14
TECH,chatbot application,390,63,1.52
TECH,whatsapp ai chatbot,170,25,0
TECH,rag chatbot,70,8,5.88
TECH,openai chatbot,480,86,0.06
TECH,chatbot artificial intelligence examples,140,23,3.8
TECH,mom chatbot,70,9,5.64
TECH,chatbot mom,70,9,5.64
TECH,chatbot ui,110,18,2.17
TECH,boyfriend chatbot,90,14,0
TECH,chatgpt chatbot,320,65,0.19
TECH,chatbot user interface,110,20,2.17
TECH,eliza chatbot,140,27,0
TECH,ai chatbot character,260,55,0.52
TECH,chatbot boyfriend,90,16,0
TECH,standard chartered chatbot,70,12,10.25
TECH,ai chatbot platforms,210,48,18.46
TECH,ai chatbot platform,210,48,18.46
TECH,google ai chatbot,260,62,0.98
TECH,whatsapp business platform,210,55,0
TECH,hsbc chatbot,70,15,3.26
TECH,chatbot eliza,140,36,0
TECH,ai-powered chatbot,170,45,12.59
TECH,character ai chatbot,210,57,2.53
TECH,ai powered chatbot,210,59,0
TECH,ai and robotic process automation,90,23,0
TECH,bing ai chatbot,140,40,0
TECH,ai workflow automation,90,25,38.54
TECH,ai chatbot app,140,48,1.06
TECH,ai chatbot apps,140,48,1.06
TECH,ai character chatbot,110,41,0.29
TECH,chatbot artificial intelligence,140,62,3.8
TECH,ai girlfriend chatbot free,110,52,0
TECH,how to create a chatbot,70,32,6.1
TECH,meta ai chatbot,110,57,0.88
TECH,ask ai chatbot,90,48,0.51
TECH,chatbot ai free,90,48,2.08
TECH,ai chatbot roleplay,90,54,1.59
TECH,ai chatbot google,70,45,0.44
TECH,automation ai,30,17,4.49
TECH,poe ai chatbot,30,21,1.13
TECH,artificial intelligence chatbot online,70,58,2.78
TECH,grok ai chatbot,70,59,2.47
TECH,grok chatbot,70,59,0.35
TECH,chatbot ai google,70,64,0.44
TECH,google chatbot ai,70,64,0.44
TECH,microsoft chatbot ai,50,52,0.35
TECH,chatbot ai character,40,41,0.54
TECH,microsoft ai chatbot,50,53,0.35
TECH,ai chatbot assistant,90,,4.53
TECH,chatbot conversation,50,58,0
TECH,chatbot ai online,70,84,2.78
TECH,ai chatbot microsoft,50,61,0.35
TECH,chatbot ai app,40,48,2.85
TECH,roleplay ai chatbot,40,51,1.23
TECH,chai ai chatbot,70,,1.1
TECH,lead generation tool,30,41,27.47
TECH,chatbot app ai,30,48,0.59
TECH,ai chatbot icons,50,,0
TECH,ai powered chatbot platform,50,,0
TECH,anime ai chatbot,50,,0.65
TECH,advanced ai chatbot,50,,0.44
TECH,ai chatbot for coding,50,,5.5
TECH,unfiltered ai chatbot,50,,1.79
TECH,ai automation tools,50,,5.97
TECH,ai lead generation,40,,10.97
TECH,ai for lead generation,40,,10.97
TECH,how to make ai chatbot,40,,3.73
TECH,ai chatbot girlfriend,40,,0.67
TECH,how to create an ai chatbot,40,,3.73
TECH,hi ai chatbot,40,,1.02
TECH,how to create ai chatbot,40,,3.73
TECH,ai chatbot ui,40,,15.59
TECH,nova ai chatbot,40,,0.98
TECH,how to make an ai chatbot,40,,3.73
TECH,unrestricted ai chatbot,30,,0
TECH,ai chatbot agent,30,,15.79
TECH,bloobin ai chatbot,30,,0
TECH,mistral ai chatbot,30,,0
TECH,ai chatbot for business,30,,0
TECH,ai chatbot anime,30,,3.95
TECH,ai chatbot website,30,,3.1
TECH,cloud ai chatbot,30,,3.42
TECH,ai girlfriend chatbot,30,,0
TECH,poly ai chatbot,30,,0
TECH,whatsapp business platform api,30,,0
TECH,ai cold calling,30,,19.51
TECH,lead generation management software,20,,10.95
TECH,medical ai chatbot,20,,2.32
TECH,ai gf chatbot,20,,0.36
TECH,ai chatbot interface,20,,2.84
TECH,ai chatbot examples,20,,0
TECH,landing page ai,20,,3.3
TECH,ai automation pte ltd,20,,0
TECH,ai workflow automation tools,20,,0
TECH,ai workflow automation tool,20,,0
TECH,zapier ai automation,20,,0
TECH,automation versus ai,20,,0.09
OTHER,sales of balance flat 2026,3600,0,0.46
OTHER,black friday sales,2900,0,15.82
OTHER,sales of balance hdb,1600,0,0.38
OTHER,abc valu value dollar fire sales,1600,0,0
OTHER,zyon grand sales gallery,1600,0,4.29
OTHER,sales,3600,8,1.2
OTHER,marketing and digital marketing,2400,4,11.93
OTHER,foreign sales corporation,1300,0,2.73
OTHER,hdb sales of balance 2026,1300,0,0.39
OTHER,river green sales gallery,1900,3,2.95
OTHER,sales of balance flat 2025,2900,9,0.62
OTHER,lululemon sales,1000,0,0.38
OTHER,skye at holland sales gallery,1000,0,0
OTHER,business with whatsapp,8100,38,8.61
OTHER,sales of balance flat,1300,2,0.36
OTHER,sales balance flat,1300,2,0.36
OTHER,sales of balance flats,1300,2,0.36
OTHER,digital and marketing,2400,8,11.93
OTHER,hdb e sales,6600,31,0.27
OTHER,aurea and the golden mile sales gallery,1000,1,5.77
OTHER,whatsapp business web,5400,30,0
OTHER,whatsapp web for business,5400,31,0
OTHER,hdb sales of balance,1600,6,0.38
OTHER,scoot sales,1900,9,0.27
OTHER,whatsapp business,8100,57,8.61
OTHER,digital marketing vacancies,590,0,2.37
OTHER,digital marketing vacancy,590,0,2.37
OTHER,balance of sales hdb,1600,10,0.38
OTHER,digital marketing marketing,2400,19,11.93
OTHER,mlm marketing,1600,11,3.3399999141693115
OTHER,s.g sales,2400,21,0.89
OTHER,affiliate marketing,1600,13,10.640000343322754
OTHER,cold call,480,1,20.139999389648438
OTHER,hdb for sales,2400,35,0.25
OTHER,hdb sales,2400,35,0.25
OTHER,a digital marketing,2400,37,11.93
OTHER,marketing and content,1300,18,4.300000190734863
OTHER,s g sales,2400,38,0.89
OTHER,web design firms,480,4,20.65999984741211
OTHER,marketing,1900,31,13.600000381469727
OTHER,steam summer sales,1000,15,0.62
OTHER,point of sales system,1600,31,11.59
OTHER,website design website,1600,33,10.069999694824219
OTHER,marketing digital marketing,2400,55,11.93
OTHER,digital marketing,2400,55,11.93
OTHER,used car sales malaysia,1900,45,0.04
OTHER,used car for sales in malaysia,1900,46,0.04
OTHER,upcoming steam sales,1300,31,0.32
OTHER,point of sales systems,1600,41,11.59
OTHER,content and marketing,1300,33,4.300000190734863
OTHER,web design,1600,42,10.069999694824219
OTHER,social media marketing,1000,25,7.25
OTHER,class on digital marketing,720,17,10.74
OTHER,social media and marketing,1000,27,7.25
OTHER,marketing and social media,1000,28,7.25
OTHER,marketing for social media,1000,28,7.25
OTHER,courses for digital marketing,720,20,10.74
OTHER,courses on digital marketing,720,20,10.74
OTHER,courses in digital marketing,720,20,10.74
OTHER,digital marketing courses,720,20,10.74
OTHER,courses digital marketing,720,20,10.74
OTHER,saas and b2b,140,0,0
OTHER,shopee sales center,1900,63,5.97
OTHER,marketing social media,1000,36,7.25
OTHER,web design ecommerce,210,4,17.3700008392334
OTHER,landing page,880,34,5.15
OTHER,telesales,110,0,0.3499999940395355
OTHER,seo and digital marketing,260,7,10.48
OTHER,marketing-interactive,1300,57,4.940000057220459
OTHER,seo & digital marketing,260,8,10.48
OTHER,business whatsapp account,880,39,0
OTHER,whatsapp business accounts,880,39,0
OTHER,website design firms,480,19,20.65999984741211
OTHER,e commerce and web design,210,6,17.3700008392334
OTHER,wsg career conversion programme,170,4,0.8700000047683716
OTHER,whatsapp business account,880,43,0
OTHER,lead generation agent,90,0,45.15
OTHER,marketing consultants,90,0,0
OTHER,client acquisition,110,2,0
OTHER,digital marketing class,720,42,10.74
OTHER,customer centric,260,13,0
OTHER,b2b marketing firms,70,0,23.66
OTHER,difference between whatsapp and whatsapp business,70,0,0
OTHER,digital marketing classes,720,48,10.74
OTHER,whatsapp business app,590,39,0
OTHER,digital marketing in seo,260,15,10.48
OTHER,how to change whatsapp to business account,90,2,0
OTHER,whatsapp api for business,720,53,0
OTHER,whatsapp business api,720,53,0
OTHER,ecommerce web design,210,12,17.3700008392334
OTHER,customer centricity,260,18,0
OTHER,whatsapp web business,390,30,0
OTHER,web whatsapp business,320,25,0
OTHER,lead generation,390,33,22.82
OTHER,lead generation and,390,33,22.82
OTHER,whatsapp for business app,590,57,0
OTHER,business whatsapp web,320,34,0
OTHER,landing page examples,210,21,3.76
OTHER,digital marketing seo,320,35,0
OTHER,business whatsapp,480,57,0
OTHER,what digital marketing is,390,46,3.95
OTHER,what are digital marketing,390,48,3.95
OTHER,digital seo marketing,260,31,10.48
OTHER,business marketing b2b,210,27,6.9
OTHER,b2b business marketing,210,27,6.9
OTHER,digital marketing is what,390,55,3.95
OTHER,seo for digital marketing,260,35,10.48
OTHER,marketing whatsapp,90,9,8.42
OTHER,whatsapp marketing,90,9,8.42
OTHER,seo digital marketing,260,36,10.48
OTHER,seo marketing digital,260,36,10.48
OTHER,lead generation for agents,90,10,45.15
OTHER,b2b and marketing,210,30,6.9
OTHER,mid career conversion programme,70,7,1.2300000190734863
OTHER,search engine optimization digital marketing,260,43,10.48
OTHER,whatsapp business apk,260,45,0.56
OTHER,b2b marketing,210,36,6.9
